county,num_of_indiv_A0,num_of_indiv_A1,num_of_indiv_A2,num_of_indiv_A3,num_of_indiv_A4,num_of_indiv_A5,num_of_indiv_A6,num_of_indiv_A7,num_of_indiv_A8,num_of_indiv_A9,num_of_indiv_A10,num_of_indiv_A11,num_of_indiv_A12,num_of_indiv_A13,num_of_indiv_A14,num_of_indiv_A15,num_of_indiv_A16,num_of_indiv_A17,num_of_indiv_A18,num_of_indiv_A19,num_of_indiv_A20,Grand Total
Lassen,196.6666667,200.5833333,168.75,175.6666667,168,159.5,165.25,157.9166667,142.6666667,163.5,144,137.4166667,137.5833333,135.0833333,124.1666667,125.75,135.1666667,132.8333333,121.4166667,116.5833333,108,148.4047619
Los Angeles,80760.66667,76096,75086.16667,74769.83333,75849.16667,77295,78812.5,81497.58333,79925.75,75937.33333,74352,72851.58333,71987.41667,71293.33333,72610.66667,73175,72382.91667,73249.16667,72042.08333,64898,62000.41667,74136.78968
Madera,2037,1843.5,1819.416667,1846.75,1848.25,1814,1862.333333,1916.083333,1926,1775.916667,1752.666667,1697.583333,1617.666667,1586.666667,1575,1535.25,1451.166667,1455.916667,1425.166667,1160.5,1114.583333,1669.59127
Marin,913.0833333,839.5833333,781.4166667,825.5,847.6666667,825.75,893.75,960.9166667,905.4166667,833.1666667,811.75,829.3333333,807.5833333,779.4166667,764.3333333,739.9166667,726.25,698.75,701.8333333,599.5,510.8333333,790.2738095
Mariposa,102.1666667,88.16666667,89.66666667,80.25,84.91666667,87.58333333,82.33333333,84.25,88.16666667,87.66666667,86.5,73.33333333,82.66666667,79.25,85.91666667,91.16666667,78.33333333,80.33333333,79.08333333,80.08333333,64.83333333,83.65079365
Mendocino,917.25,880.75,872.75,888.4166667,839.6666667,872.5833333,871.5,871.9166667,812.4166667,832.8333333,789.6666667,726.8333333,751.5833333,746.5833333,730.8333333,728.75,685.5,681,685.0833333,651.6666667,589.5,782.2420635
Merced,3498.583333,3367.583333,3451.666667,3442.583333,3436.333333,3419.083333,3489.333333,3520,3613.916667,3376.833333,3264.166667,3126.416667,3139.333333,3089.5,3040.833333,2977.333333,2849.333333,2777.416667,2758.083333,2591.5,2364.083333,3171.138889
Modoc,67.66666667,61.5,70.33333333,64.16666667,71.91666667,65.16666667,64.66666667,68.41666667,66.66666667,61.16666667,60.25,63.66666667,58.25,48.83333333,49.83333333,47.5,50,58.25,49.25,55.66666667,38.08333333,59.10714286
Mono,111.9166667,97.08333333,102.5,90.58333333,83.66666667,76.33333333,88.83333333,93,91.16666667,87.58333333,98.33333333,81.58333333,73.58333333,82,76.08333333,56,55.91666667,75.58333333,54.83333333,58.58333333,50.75,80.28174603
Monterey,5469.583333,4934.583333,4754.75,4819.166667,4861.333333,4838.083333,5021.833333,5129.166667,4959.75,4680.666667,4462.083333,4225.5,4036.583333,3871.916667,3665.833333,3524.083333,3385.75,3315.75,3233,2817.333333,2661.833333,4222.313492
