county,total_expenditures,abortion_rs_count_total,abortion_rs_count_total_suppressed,daycare_slots_child_facility_capacity,daycare_slots_child_total_pop,daycare_slots_child_rate_slots,daycare_slots_child_num_facility,daycare_slots_child_pct_nonwhite,daycare_slots_infant_facility_capacity,daycare_slots_infant_total_pop,daycare_slots_infant_rate_slots,daycare_slots_infant_num_facility,daycare_slots_infant_pct_nonwhite,graduation_2019_cohort_size,dropout_rate_2019_cohort,ecigs_sold_pct_tobacco_stores_2016,ecigs_sold_pct_tobacco_stores_2013,povr_whole_white_estimate,povr_whole_cont_native_estimate,povr_whole_asian_estimate,povr_whole_black_estimate,povr_whole_latine_estimate,povr_whole_island_native_estimate,povr_whole_multiracial_estimate,povr_whole_other_race_estimate,povr_whole_total_estimate,povr_kids_asian_estimate,povr_kids_cont_native_estimate,povr_kids_black_estimate,povr_kids_latine_estimate,povr_kids_island_native_estimate,povr_kids_white_estimate,povr_kids_multiracial_estimate,povr_kids_other_race_estimate,povr_kids_total_estimate,sui_rate_2012_2014,sui_age_adjusted_rate_2012_2014,sui_rate_2015_2017,sui_age_adjusted_rate_2015_2017,unemployment_rate,labor_force_size,sui_rate_avg,sui_adjusted_rate_avg
Imperial,"$22,656.33 ",326.0,0.0,2659.0,10981.0,242.14552408705944,56.0,92.26846371004464,145.0,8118.0,17.86154225178616,7.0,92.79379157427938,3127,10.4,0.63,0.53,28.4074403785785,60.3856266432954,21.7771639042357,38.5654401490452,56.2435233160622,,39.1654465592972,,51.8929226869758,45.4987834549878,84.4202898550725,42.6470588235294,61.042027729636,,27.0286047869235,27.0916334661355,,58.1213726483076,6.631,6.798,8.543,9.0,24.59166666666667,76750.0,7.587,7.899
Inyo,"$1,660.82 ",23.0,0.0,327.0,837.0,390.6810035842294,14.0,58.78136200716849,,655.0,,,57.40458015267176,812,48.2,0.69,0.2,25.0682593856655,45.049504950495,,,45.0284090909091,,16.8582375478927,,31.2408512554893,,,,,,,,,,21.51,16.16,21.44,15.7,5.833333333333333,9082.5,21.475,15.93
Kern,"$373,915.27 ",4243.0,0.0,10807.0,57922.0,186.5785021235455,188.0,74.90418148544595,578.0,43784.0,13.201169376941344,31.0,75.41110908094282,14224,8.0,0.62,0.42,31.1228923476005,48.7378640776699,31.9741395498565,58.0503995082975,61.2026525373218,55.4906542056075,40.3869958954981,53.1285551763367,48.1563215855598,33.7452574525745,73.0769230769231,67.8658043654002,70.2606104820466,68.7657430730479,36.9268430467941,44.4703622392975,80.4347826086957,59.8478155103629,12.44,13.18,13.33,13.96,10.283333333333333,390158.3333333333,12.885,13.57
Kings,"$12,667.67 ",234.0,0.0,1731.0,10207.0,169.5894974037425,42.0,76.18301165866563,65.0,7782.0,8.352608583911591,4.0,75.93163711128243,2293,7.5,0.66,0.22,30.0717069704343,54.8812664907652,24.9949402954867,50.6041478809738,63.5998873715332,,40.5114401076716,,49.3584848599403,34.5238095238095,54.3243243243243,53.8199181446112,69.8035312764938,100.0,38.8917499227521,41.5081967213115,100.0,60.2783155856728,9.118,10.01,11.34,12.2,10.575000000000001,57741.666666666664,10.229,11.105
Lake,"$8,858.93 ",392.0,0.0,583.0,2959.0,197.0260223048328,20.0,45.35315985130112,78.0,2181.0,35.76341127922969,3.0,46.53828519027968,750,11.7,0.62,0.47,43.4259922314085,64.5522388059701,,65.4123298638911,68.0996831377922,,46.3299131807419,,49.1764668689934,,,,,,,,,,26.69,24.46,30.18,28.78,7.633333333333334,29007.5,28.435000000000002,26.62
Lassen,"$1,405.71 ",98.0,0.0,344.0,1255.0,274.10358565737056,11.0,29.482071713147405,22.0,990.0,22.222222222222225,2.0,33.03030303030303,298,5.7,0.81,0.48,29.4933078393881,32.0668693009119,15.4639175257732,49.0974729241877,45.1612903225806,,16.2217659137577,,30.656264341441,,,,,,,,,,24.7,22.22,22.76,22.79,7.2749999999999995,10761.666666666666,23.73,22.505
Los Angeles,"$6,451,591.05 ",37817.0,0.0,160580.0,516583.0,310.85033769984693,2641.0,83.36898426777498,9823.0,388055.0,25.31342206645965,430.0,83.62500161059644,120444,10.6,0.48,0.36,22.6048508386522,37.5716547469564,29.2643524001951,44.2700169029067,53.6721864154685,37.2147526828667,26.6414349185453,37.1401938851603,40.4907864379328,31.4720409942154,31.0080490609429,58.1464936452251,63.9948583370602,47.4244771494965,21.7496570091195,25.1189612561325,41.0031203050965,51.7509068355013,7.713,7.52,8.175,7.87,6.683333333333334,4973750.0,7.944000000000001,7.695
Madera,"$53,610.21 ",401.0,0.0,1781.0,9748.0,182.7041444398851,50.0,80.1702913418137,70.0,7077.0,9.89119683481701,5.0,81.06542320192169,2239,12.7,0.69,0.32,33.7684579083574,56.0201874549387,45.6896551724138,45.4427505676289,62.0246371508721,,52.3692003948667,,50.7350443937703,75.5793226381462,57.0093457943925,54.2647058823529,70.951888256596,,44.1911442349847,50.9559434746467,,64.4156514799427,14.65,15.43,10.69,11.04,10.566666666666666,59816.666666666664,12.67,13.235
Marin,"$137,681.55 ",936.0,0.0,6131.0,11915.0,514.5614771296684,122.0,38.94250944187999,339.0,8078.0,41.96583312701165,17.0,42.51052240653625,2645,5.3,0.6,0.46,12.5976105163419,,19.1463674454939,31.6833795604865,50.0485784413991,,15.8334421093852,43.3938634940514,19.5461701146501,23.3106338397067,100.0,49.6124031007752,62.1320111558723,,9.18209398798836,14.2294436238306,42.3328964613368,24.3742236609327,14.19,11.91,15.07,12.52,3.5749999999999997,138683.33333333334,14.629999999999999,12.215
Mariposa,"$1,547.72 ",34.0,0.0,123.0,634.0,194.006309148265,6.0,30.283911671924287,,462.0,,,27.92207792207792,160,1.3,0.42,0.29,30.1846345342646,,,,52.9842342342342,,17.3310225303293,,32.0517916974275,,,,,,,,,,29.36,32.32,33.21,33.12,7.274999999999999,8011.666666666667,31.285,32.72
