county,povr_whole_white_estimate,povr_whole_cont_native_estimate,povr_whole_asian_estimate,povr_whole_black_estimate,povr_whole_latine_estimate,povr_whole_island_native_estimate,povr_whole_multiracial_estimate,povr_whole_other_race_estimate,povr_whole_total_estimate,povr_kids_asian_estimate,povr_kids_cont_native_estimate,povr_kids_black_estimate,povr_kids_latine_estimate,povr_kids_island_native_estimate,povr_kids_white_estimate,povr_kids_multiracial_estimate,povr_kids_other_race_estimate,povr_kids_total_estimate
Madera,33.7684579083574,56.0201874549387,45.6896551724138,45.4427505676289,62.0246371508721,,52.3692003948667,,50.7350443937703,75.5793226381462,57.0093457943925,54.2647058823529,70.951888256596,,44.1911442349847,50.9559434746467,,64.4156514799427
Marin,12.5976105163419,,19.1463674454939,31.6833795604865,50.0485784413991,,15.8334421093852,43.3938634940514,19.5461701146501,23.3106338397067,100.0,49.6124031007752,62.1320111558723,,9.18209398798836,14.2294436238306,42.3328964613368,24.3742236609327
Mariposa,30.1846345342646,,,,52.9842342342342,,17.3310225303293,,32.0517916974275,,,,,,,,,
Mendocino,37.0590690878731,56.6317921025987,47.1264367816092,69.4174757281553,61.5464018875344,,51.6592920353982,,44.3866871336869,,,,,,,,,
Merced,35.564923679868,59.2169657422512,53.2545311268716,59.9168566447633,64.9954848215316,,44.4422110552764,,54.6398945654702,58.8482877367515,100.0,71.0103329506315,74.1870872279765,40.5660377358491,47.6755753034021,49.3579866461222,100.0,67.5292111729602
Modoc,37.8766344513928,64.3533123028391,,,72.6978998384491,,,,44.8070883804397,,,,,,,,,
Mono,28.6004925580897,,,,48.0010384215992,,,,33.8557993730408,,,,,,,,,
Monterey,20.1378158605297,40.1794616151545,28.7394205729167,36.5924984106802,56.41664231227,32.2814278323849,32.7264399404557,,42.3205252394791,,,,,,,,,
Napa,18.9879044206783,,17.3857368006304,37.5936883629191,45.1825502476922,,22.6218487394958,,28.1789455205103,12.6085159156676,35.2,46.1666666666667,51.5368852459016,100.0,20.4620765832106,26.9772481040087,23.7885462555066,36.5572229604901
Nevada,28.7820856411173,34.4155844155844,20.431654676259,,40.3777904979966,,34.032634032634,,29.902191483702,,,,,,,,,
Orange,16.7444320115268,38.4382470119522,26.5740901802675,30.9626651841081,47.9944315421524,43.679727427598,21.4360890385729,30.3252677508925,29.7343072218516,26.3561963811863,29.4830371567044,37.0694368507381,57.2236101425095,58.2743077913715,15.2566181940844,19.0513722730471,26.8379096545616,37.4201598535946
