Reporting Period,County,Age,Number of Eligible Individuals
2015-01,Marin,1,789
2015-01,Marin,2,800
2015-01,Marin,3,857
2015-01,Marin,4,817
2015-01,Marin,5,853
2015-01,Marin,6,926
2015-01,Marin,7,942
2015-01,Marin,8,869
2015-01,Marin,9,834
2015-01,Marin,10,783
2015-01,Marin,11,824
2015-01,Marin,12,784
2015-01,Marin,13,756
2015-01,Marin,14,730
2015-01,Marin,15,687
2015-01,Marin,16,718
2015-01,Marin,17,672
2015-01,Marin,18,666
2015-01,Marin,19,555
2015-01,Marin,20,496
2015-01,Mariposa,0,95
2015-01,Mariposa,1,87
2015-01,Mariposa,2,90
2015-01,Mariposa,3,77
2015-01,Mariposa,4,79
2015-01,Mariposa,5,86
2015-01,Mariposa,6,89
2015-01,Mariposa,7,77
2015-01,Mariposa,8,98
2015-01,Mariposa,9,78
2015-01,Mariposa,10,77
2015-01,Mariposa,11,81
2015-01,Mariposa,12,79
2015-01,Mariposa,13,83
2015-01,Mariposa,14,81
2015-01,Mariposa,15,83
2015-01,Mariposa,16,73
2015-01,Mariposa,17,77
2015-01,Mariposa,18,89
2015-01,Mariposa,19,80
2015-01,Mariposa,20,62
2015-01,Mendocino,0,948
2015-01,Mendocino,1,829
2015-01,Mendocino,2,904
2015-01,Mendocino,3,867
2015-01,Mendocino,4,831
2015-01,Mendocino,5,864
2015-01,Mendocino,6,896
2015-01,Mendocino,7,821
2015-01,Mendocino,8,790
2015-01,Mendocino,9,816
2015-01,Mendocino,10,763
2015-01,Mendocino,11,729
2015-01,Mendocino,12,727
2015-01,Mendocino,13,745
2015-01,Mendocino,14,728
2015-01,Mendocino,15,670
2015-01,Mendocino,16,682
2015-01,Mendocino,17,673
2015-01,Mendocino,18,690
2015-01,Mendocino,19,626
2015-01,Mendocino,20,583
2015-01,Merced,0,3529
2015-01,Merced,1,3387
2015-01,Merced,2,3429
2015-01,Merced,3,3393
2015-01,Merced,4,3358
2015-01,Merced,5,3462
2015-01,Merced,6,3463
2015-01,Merced,7,3555
2015-01,Merced,8,3504
2015-01,Merced,9,3262
2015-01,Merced,10,3178
2015-01,Merced,11,3085
2015-01,Merced,12,3085
2015-01,Merced,13,3032
2015-01,Merced,14,2986
2015-01,Merced,15,2943
2015-01,Merced,16,2705
2015-01,Merced,17,2765
2015-01,Merced,18,2766
2015-01,Merced,19,2583
2015-01,Merced,20,2213
2015-01,Modoc,0,68
2015-01,Modoc,1,59
2015-01,Modoc,2,66
2015-01,Modoc,3,61
2015-01,Modoc,4,79
2015-01,Modoc,5,54
2015-01,Modoc,6,70
2015-01,Modoc,7,57
2015-01,Modoc,8,73
2015-01,Modoc,9,61
2015-01,Modoc,10,54
2015-01,Modoc,11,63
2015-01,Modoc,12,50
2015-01,Modoc,13,49
2015-01,Modoc,14,47
2015-01,Modoc,15,34
2015-01,Modoc,16,60
2015-01,Modoc,17,55
2015-01,Modoc,18,53
2015-01,Modoc,19,48
2015-01,Modoc,20,39
2015-01,Mono,0,110
2015-01,Mono,1,103
2015-01,Mono,2,93
2015-01,Mono,3,90
2015-01,Mono,4,81
2015-01,Mono,5,75
2015-01,Mono,6,90
2015-01,Mono,7,88
2015-01,Mono,8,92
2015-01,Mono,9,84
2015-01,Mono,10,96
2015-01,Mono,11,71
2015-01,Mono,12,68
2015-01,Mono,13,80
2015-01,Mono,14,66
2015-01,Mono,15,55
2015-01,Mono,16,58
2015-01,Mono,17,70
2015-01,Mono,18,51
2015-01,Mono,19,58
2015-01,Mono,20,45
2015-01,Monterey,0,5439
2015-01,Monterey,1,4916
2015-01,Monterey,2,4777
2015-01,Monterey,3,4705
2015-01,Monterey,4,4783
2015-01,Monterey,5,4869
2015-01,Monterey,6,5073
2015-01,Monterey,7,4963
2015-01,Monterey,8,4799
2015-01,Monterey,9,4515
2015-01,Monterey,10,4254
2015-01,Monterey,11,4105
2015-01,Monterey,12,3825
2015-01,Monterey,13,3754
2015-01,Monterey,14,3486
2015-01,Monterey,15,3316
2015-01,Monterey,16,3305
2015-01,Monterey,17,3231
2015-01,Monterey,18,3080
2015-01,Monterey,19,2800
2015-01,Monterey,20,2483
2015-01,Napa,0,807
2015-01,Napa,1,695
2015-01,Napa,2,723
2015-01,Napa,3,750
2015-01,Napa,4,752
2015-01,Napa,5,752
2015-01,Napa,6,803
2015-01,Napa,7,794
2015-01,Napa,8,816
2015-01,Napa,9,775
2015-01,Napa,10,724
2015-01,Napa,11,771
2015-01,Napa,12,657
2015-01,Napa,13,658
2015-01,Napa,14,649
2015-01,Napa,15,626
2015-01,Napa,16,636
2015-01,Napa,17,591
2015-01,Napa,18,592
2015-01,Napa,19,509
2015-01,Napa,20,411
2015-01,Nevada,0,498
2015-01,Nevada,1,533
2015-01,Nevada,2,487
2015-01,Nevada,3,444
2015-01,Nevada,4,461
2015-01,Nevada,5,452
2015-01,Nevada,6,516
2015-01,Nevada,7,484
2015-01,Nevada,8,448
2015-01,Nevada,9,438
2015-01,Nevada,10,432
2015-01,Nevada,11,433
2015-01,Nevada,12,458
2015-01,Nevada,13,434
2015-01,Nevada,14,448
2015-01,Nevada,15,422
2015-01,Nevada,16,435
2015-01,Nevada,17,425
2015-01,Nevada,18,416
2015-01,Nevada,19,350
2015-01,Nevada,20,287
2015-01,Orange,0,19645
2015-01,Orange,1,18821
2015-01,Orange,2,18675
2015-01,Orange,3,18559
2015-01,Orange,4,18847
2015-01,Orange,5,19846
2015-01,Orange,6,20802
2015-01,Orange,7,21340
2015-01,Orange,8,20612
2015-01,Orange,9,19855
2015-01,Orange,10,19204
2015-01,Orange,11,19091
2015-01,Orange,12,18456
2015-01,Orange,13,18398
2015-01,Orange,14,18752
2015-01,Orange,15,18425
2015-01,Orange,16,17809
2015-01,Orange,17,18048
2015-01,Orange,18,18043
2015-01,Orange,19,13639
2015-01,Orange,20,12477
2015-01,Placer,0,1424
2015-01,Placer,1,1419
2015-01,Placer,2,1296
2015-01,Placer,3,1355
2015-01,Placer,4,1336
2015-01,Placer,5,1342
2015-01,Placer,6,1456
2015-01,Placer,7,1500
2015-01,Placer,8,1445
2015-01,Placer,9,1386
2015-01,Placer,10,1336
2015-01,Placer,11,1298
2015-01,Placer,12,1274
2015-01,Placer,13,1259
2015-01,Placer,14,1260
2015-01,Placer,15,1215
2015-01,Placer,16,1192
2015-01,Placer,17,1167
2015-01,Placer,18,1134
2015-01,Placer,19,911
2015-01,Placer,20,815
2015-01,Plumas,0,118
2015-01,Plumas,1,112
2015-01,Plumas,2,115
2015-01,Plumas,3,105
2015-01,Plumas,4,98
2015-01,Plumas,5,104
2015-01,Plumas,6,97
2015-01,Plumas,7,111
2015-01,Plumas,8,91
2015-01,Plumas,9,93
2015-01,Plumas,10,97
2015-01,Plumas,11,88
2015-01,Plumas,12,89
2015-01,Plumas,13,91
2015-01,Plumas,14,91
2015-01,Plumas,15,84
2015-01,Plumas,16,90
2015-01,Plumas,17,79
2015-01,Plumas,18,75
2015-01,Plumas,19,83
