county,abortion_medicaid_expenditures,abortion_rs_count_total,abortion_rs_count_total_suppressed,daycare_slots_child_facility_capacity,daycare_slots_child_total_pop,daycare_slots_child_rate_slots,daycare_slots_child_num_facility,daycare_slots_child_pct_nonwhite,daycare_slots_infant_facility_capacity,daycare_slots_infant_total_pop,daycare_slots_infant_rate_slots,daycare_slots_infant_num_facility,daycare_slots_infant_pct_nonwhite,graduation_2019_cohort_size,dropout_rate_2019_cohort,ecigs_sold_pct_tobacco_stores_2016,ecigs_sold_pct_tobacco_stores_2013,povr_whole_total_estimate,adolescent_birth_abr,asthma_number_of_deaths,asthma_age_adjusted_mortality_rate,asthma_surpressed,infant_mortality_rate,std_chlamydia_rate,std_chlamydia_supressed,std_gonorrhea_rate,std_gonorrhea_supressed,std_population,std_syphilis_rate,std_syphilis_supressed,sui_adjusted_rate_avg,unemployment_rate,gini_coefficient_2015,gini_suppressed_2015,gini_combined_2015,gini_coefficient_range,gini_suppressed_range,num_of_indiv_A0,num_of_indiv_A1,num_of_indiv_A2,num_of_indiv_A3,num_of_indiv_A4,num_of_indiv_A5,num_of_indiv_A6,num_of_indiv_A7,num_of_indiv_A8,num_of_indiv_A9,num_of_indiv_A10,num_of_indiv_A11,num_of_indiv_A12,num_of_indiv_A13,num_of_indiv_A14,num_of_indiv_A15,num_of_indiv_A16,num_of_indiv_A17,num_of_indiv_A18,num_of_indiv_A19,num_of_indiv_A20,medicaid_sum_0_20
Mendocino,53800.14,675.0,0.0,1226.0,4299.0,285.1826006047919,37.0,53.84973249592929,36.0,3178.0,11.32787916928886,3.0,53.39836375078668,1018.0,11.5,0.63,0.44,44.3866871336869,24.7,,,1,9.4,433.9,0,103.1,0,88264,9.1,1,22.615,5.866666666666667,0.4966,0,1.0,,1.0,917.25,880.75,872.75,888.4166667,839.6666667,872.5833333,871.5,871.9166667,812.4166667,832.8333333,789.6666667,726.8333333,751.5833333,746.5833333,730.8333333,728.75,685.5,681.0,685.0833333,651.6666667,589.5,16427.083333300005
Merced,26036.33,661.0,0.0,3285.0,18077.0,181.7226309675278,76.0,81.42390883443049,259.0,12994.0,19.93227643527782,16.0,81.40680313991075,4554.0,7.2,0.54,0.4,54.6398945654702,29.4,16.0,21.6,0,4.0,415.4,0,125.2,0,269870,9.6,0,10.4205,11.433333333333332,,1,0.0,0.4653,0.0,3498.583333,3367.583333,3451.666667,3442.583333,3436.333333,3419.083333,3489.333333,3520.0,3613.916667,3376.833333,3264.166667,3126.416667,3139.333333,3089.5,3040.833333,2977.333333,2849.333333,2777.416667,2758.083333,2591.5,2364.083333,66593.916664
Modoc,507.09,15.0,0.0,173.0,422.0,409.9526066350711,7.0,31.990521327014207,24.0,317.0,75.70977917981072,2.0,30.283911671924287,92.0,5.4,0.64,0.09,44.8070883804397,0.0,,,1,,105.2,1,0.0,0,9510,0.0,0,,8.658333333333333,0.4663,0,1.0,,,67.66666667,61.5,70.33333333,64.16666667,71.91666667,65.16666667,64.66666667,68.41666667,66.66666667,61.16666667,60.25,63.66666667,58.25,48.83333333,49.83333333,47.5,50.0,58.25,49.25,55.66666667,38.08333333,1241.25000002
Mono,284.8,11.0,0.0,184.0,708.0,259.88700564971754,7.0,55.64971751412431,52.0,533.0,97.5609756097561,3.0,57.22326454033775,310.0,31.3,0.41,0.21,33.8557993730408,0.0,,,1,,231.2,0,14.5,1,13841,14.5,1,,6.2,0.4612,0,1.0,,1.0,111.9166667,97.08333333,102.5,90.58333333,83.66666667,76.33333333,88.83333333,93.0,91.16666667,87.58333333,98.33333333,81.58333333,73.58333333,82.0,76.08333333,56.0,55.91666667,75.58333333,54.83333333,58.58333333,50.75,1685.9166666699998
Monterey,160011.2,1162.0,0.0,5455.0,26146.0,208.63612024783905,126.0,84.15818863306048,357.0,19529.0,18.280505914281324,20.0,84.5563008858621,5651.0,11.5,0.52,0.31,42.3205252394791,28.1,19.0,14.2,0,5.3,410.9,0,70.1,0,435342,12.9,0,9.1435,8.258333333333333,0.4601,0,1.0,0.4595,0.0,5469.583333,4934.583333,4754.75,4819.166667,4861.333333,4838.083333,5021.833333,5129.166667,4959.75,4680.666667,4462.083333,4225.5,4036.583333,3871.916667,3665.833333,3524.083333,3385.75,3315.75,3233.0,2817.333333,2661.833333,88668.583331
Napa,71130.79,406.0,0.0,1996.0,6676.0,298.98142600359495,52.0,64.97902935889755,109.0,4741.0,22.9909301835056,5.0,66.06201223370599,1689.0,7.8,0.67,0.55,28.1789455205103,12.5,,,1,3.7,313.8,0,53.8,0,141183,7.8,1,10.9645,4.65,,1,0.0,0.4734,0.0,834.0833333,723.9166667,699.3333333,743.6666667,752.0,751.9166667,790.0,821.75,825.75,807.8333333,745.4166667,748.0833333,715.8333333,681.3333333,665.3333333,637.1666667,644.5,621.0833333,595.0,511.1666667,451.0833333,14766.249999900003
Nevada,5166.2,232.0,0.0,1097.0,3629.0,302.2871314411684,30.0,24.13888123449986,108.0,2564.0,42.12168486739471,5.0,27.45709828393137,1959.0,48.1,0.72,0.49,29.902191483702,0.0,,,1,,229.4,0,44.9,0,98067,3.1,1,18.185,5.458333333333333,0.4638,0,1.0,0.4639,0.0,517.6666667,510.5,503.6666667,465.8333333,468.1666667,462.5,489.0833333,497.4166667,485.5833333,458.5833333,441.5833333,436.3333333,458.5833333,445.3333333,442.75,429.0833333,454.8333333,420.5,439.4166667,371.6666667,302.4166667,9501.499999900003
Orange,1058066.55,6842.0,0.0,51563.0,157120.0,328.175916496945,761.0,71.04951629327903,3818.0,113361.0,33.68001340849146,165.0,72.3441042333783,40929.0,5.1,0.69,0.57,29.7343072218516,12.3,55.0,5.5,0,3.1,359.7,0,73.4,0,3162622,14.4,0,9.4995,4.516666666666667,0.4703,0,0.0,0.4701,0.0,19229.75,18619.33333,18369.16667,18405.08333,18696.08333,19233.5,20188.16667,21246.25,20858.58333,20014.58333,19463.83333,19081.91667,18827.75,18346.0,18753.41667,18812.08333,18188.08333,18131.41667,18037.41667,14416.75,13570.25,390489.41666
Placer,134154.44,789.0,0.0,5147.0,17627.0,291.9952345833096,99.0,35.61014352981221,689.0,12064.0,57.11206896551724,29.0,36.8120026525199,5947.0,6.3,0.88,0.55,21.9079471165634,7.6,11.0,,1,3.9,258.2,0,48.0,0,370973,6.2,0,11.275,5.1000000000000005,0.441,0,0.0,0.4472,0.0,1436.0,1398.083333,1343.666667,1341.5,1317.75,1353.583333,1404.083333,1469.75,1500.916667,1411.916667,1333.0,1297.416667,1306.166667,1240.75,1269.25,1219.833333,1238.666667,1184.833333,1150.333333,936.9166667,876.1666667,27030.583333399998
Plumas,1044.07,43.0,0.0,236.0,748.0,315.5080213903745,9.0,26.069518716577544,12.0,534.0,22.471910112359552,1.0,27.34082397003745,171.0,15.2,0.57,0.39,35.6900543858704,0.0,,,1,,341.9,0,25.5,1,19598,0.0,0,18.66,10.416666666666666,0.4663,0,1.0,,1.0,116.5833333,119.5,119.9166667,103.25,105.25,109.0833333,102.0833333,108.6666667,106.5,95.58333333,106.4166667,89.5,96.0,86.91666667,95.41666667,89.16666667,86.0,84.08333333,70.91666667,82.25,94.5,2067.58333334
