,county,abortion_medicaid_expenditures,abortion_rs_count_total,daycare_slots_child_facility_capacity,daycare_slots_child_total_pop,daycare_slots_child_rate_slots,daycare_slots_child_num_facility,daycare_slots_child_pct_nonwhite,daycare_slots_infant_facility_capacity,daycare_slots_infant_total_pop,daycare_slots_infant_rate_slots,daycare_slots_infant_num_facility,daycare_slots_infant_pct_nonwhite,graduation_2019_cohort_size,dropout_rate_2019_cohort,ecigs_sold_pct_tobacco_stores_2016,povr_whole_total_estimate,adolescent_birth_abr,asthma_number_of_deaths,asthma_age_adjusted_mortality_rate,asthma_surpressed,infant_mortality_rate,std_chlamydia_rate,std_gonorrhea_rate,std_population,std_syphilis_rate,sui_adjusted_rate_avg,unemployment_rate,medicaid_sum_0_20,gini_coef,dropout_sqrt,dropout_quar_rt,dropout_3rd_rt,dropout_not_zero,dropout_log
26,Napa,71130.79,406.0,1996,6676,298.98142600359495,52,64.97902935889755,109.0,4741,22.99093018,5.0,66.06201223370599,1689,7.8,0.67,28.17894552,12.5,,,1,3.7,313.8,53.8,141183,7.8,10.9645,4.65,14766.249999900005,0.4734,2.792848008753788,1.6711816205169887,1.9831924826807743,7.8001,2.054136554126184
27,Nevada,5166.2,232.0,1097,3629,302.2871314411684,30,24.13888123449986,108.0,2564,42.12168486739471,5.0,27.45709828393137,1959,48.1,0.72,29.90219148,0.0,,,1,0.0,229.4,44.9,98067,3.1,18.185,5.458333333333333,9501.499999900005,0.46385,6.935416353759881,2.633517867,3.636763213667093,48.100100000000005,3.8732842561116336
28,Orange,1058066.55,6842.0,51563,157120,328.1759165,761,71.04951629327903,3818.0,113361,33.68001340849146,165.0,72.34410423,40929,5.1,0.69,29.73430722,12.3,55.0,5.5,0,3.1,359.7,73.4,3162622,14.4,9.4995,4.516666666666667,390489.4167,0.4703,2.258317958127243,1.502770094900495,1.7213006207263155,5.100099999999999,1.629260147381186
29,Placer,134154.44,789.0,5147,17627,291.9952345833096,99,35.61014352981221,689.0,12064,57.11206896551724,29.0,36.81200265,5947,6.3,0.88,21.90794712,7.6,11.0,,1,3.9,258.2,48.0,370973,6.2,11.275,5.1000000000000005,27030.58333,0.441,2.5099800796022267,1.584291664941221,1.8469147504478332,6.3001,1.840565506287385
30,Plumas,1044.07,43.0,236,748,315.5080213903745,9,26.069518716577544,12.0,534,22.471910112359552,1.0,27.34082397003745,171,15.2,0.57,35.69005439,0.0,,,1,0.0,341.9,25.5,19598,0.0,18.66,10.416666666666666,2067.583333,0.4663,3.898717737923585,1.974517089802868,2.4771246592603413,15.2001,2.721302006777958
31,Riverside,759009.13,5662.0,24073,133445,180.39641799992503,364,75.85746936940313,1952.0,95543,20.43059146143621,79.0,76.14581915995939,33422,4.6,0.7,38.74889517,19.7,61.0,8.5,0,4.5,420.4,92.9,2331960,17.7,10.79,6.733333333333333,398905.8333,0.4492,2.1447610589527217,1.464500276187315,1.6631034988407656,4.600099999999999,1.5260780423891924
32,Sacramento,662075.55,6244.0,22825,81973,278.44534175887185,420,66.43650958242347,2849.0,59821,47.62541582387456,122.0,66.69731365239632,18859,8.7,0.79,37.70626834,16.7,66.0,14.1,0,5.2,565.6,192.9,1488600,22.6,13.025,6.033333333333334,230799.8333,0.4558,2.949576240750525,1.7174330382144525,2.056710116205964,8.700099999999999,2.163334519847353
33,San Benito,17959.05,112.0,859,3417,251.3901082821188,20,77.69973661106232,29.0,2348,12.350936967632029,3.0,78.87563884156728,866,5.7,0.6,31.01555672,18.9,,,1,0.0,286.5,128.5,57587,12.2,11.24,7.608333333333333,8948.25,0.4304,2.3874672772626644,1.5451431251708252,1.7863159877080566,5.7001,1.7404837185462618
34,San Bernardino,1285805.76,8998.0,22914,128387,178.47601392664373,395,79.42237142389804,1901.0,94281,20.163129368589644,84.0,79.11456178869548,31841,9.5,0.65,42.64815144,24.5,73.0,12.5,0,6.2,519.7,129.6,2128499,11.4,10.435,6.491666666666666,408095.6667,0.4445,3.082207001484488,1.7556215427832071,2.117911792127446,9.5001,2.2513023248668835
35,San Diego,989643.24,7066.0,53599,161978,330.9029621306598,859,66.88871328205065,4549.0,122267,37.20546018140626,198.0,66.73182461334619,40773,8.3,0.71,32.7457692,15.9,69.0,6.5,0,3.9,531.7,112.7,3274141,25.7,12.39,5.241666666666666,379895.9167,0.4589,2.8809720581775866,1.697342646072851,2.024693852005457,8.3001,2.1162675629227445
